# Summary of the potential surface scan:
#   N      r1          SCF    
# ----  ---------  -----------
    1     0.9800   -460.63329
    2     0.9900   -460.64262
    3     1.0000   -460.65139
    4     1.0100   -460.65961
    5     1.0200   -460.66733
    6     1.0300   -460.67456
    7     1.0400   -460.68134
    8     1.0500   -460.68768
    9     1.0600   -460.69360
   10     1.0700   -460.69913
   11     1.0800   -460.70429
   12     1.0900   -460.70909
   13     1.1000   -460.71356
   14     1.1100   -460.71770
   15     1.1200   -460.72154
   16     1.1300   -460.72509
   17     1.1400   -460.72836
   18     1.1500   -460.73137
   19     1.1600   -460.73414
   20     1.1700   -460.73667
   21     1.1800   -460.73898
   22     1.1900   -460.74109
   23     1.2000   -460.74299
   24     1.2100   -460.74470
   25     1.2200   -460.74623
   26     1.2300   -460.74759
   27     1.2400   -460.74878
   28     1.2500   -460.74983
   29     1.2600   -460.75072
   30     1.2700   -460.75148
   31     1.2800   -460.75211
   32     1.2900   -460.75262
   33     1.3000   -460.75301
   34     1.3100   -460.75329
   35     1.3200   -460.75347
   36     1.3300   -460.75355
   37     1.3400   -460.75353
   38     1.3500   -460.75343
   39     1.3600   -460.75324
   40     1.3700   -460.75298
   41     1.3800   -460.75263
   42     1.3900   -460.75222
   43     1.4000   -460.75174
   44     1.4100   -460.75120
   45     1.4200   -460.75060
   46     1.4300   -460.74995
   47     1.4400   -460.74924
   48     1.4500   -460.74849
   49     1.4600   -460.74769
   50     1.4700   -460.74685
   51     1.4800   -460.74596
   52     1.4900   -460.74504
   53     1.5000   -460.74409
   54     1.5100   -460.74309
   55     1.5200   -460.74207
   56     1.5300   -460.74101
   57     1.5400   -460.73993
   58     1.5500   -460.73883
   59     1.5600   -460.73769
   60     1.5700   -460.73654
   61     1.5800   -460.73537
