# Summary of the potential surface scan:
#   N      r1          SCF    
# ----  ---------  -----------
    1     2.5000   -460.62736
    2     2.6300   -460.61709
    3     2.7600   -460.60812
    4     2.8900   -460.60040
    5     3.0200   -460.59381
    6     3.1500   -460.58820
    7     3.2800   -460.58345
    8     3.4100   -460.57944
    9     3.5400   -460.57606
   10     3.6700   -460.57323
   11     3.8000   -460.57086
   12     3.9300   -460.56888
   13     4.0600   -460.56724
   14     4.1900   -460.56587
   15     4.3200   -460.56474
   16     4.4500   -460.56381
   17     4.5800   -460.56304
   18     4.7100   -460.56240
   19     4.8400   -460.56189
   20     4.9700   -460.56146
   21     5.1000   -460.56112
   22     5.2300   -460.56083
   23     5.3600   -460.56060
   24     5.4900   -460.56042
   25     5.6200   -460.56028
   26     5.7500   -460.56016
   27     5.8800   -460.56006
   28     6.0100   -460.55998
   29     6.1400   -460.55991
   30     6.2700   -460.55986
   31     6.4000   -460.55982
# ----  ---------  -----------
