# Summary of the potential surface scan:
#   N      r1          SCF    	MP2	MP3
# ----  ---------  -----------
    1     2.5000   -459.86738   -460.03420   -460.06076
    2     2.6300   -459.85138   -460.02393   -460.05283
    3     2.7600   -459.83685   -460.01559   -460.04709
    4     2.8900   -459.82373   -460.00910   -460.04347
    5     3.0200   -459.81191   -460.00435   -460.04186
    6     3.1500   -459.80129   -460.00122   -460.04212
    7     3.2800   -459.79178   -459.99959   -460.04411
    8     3.4100   -459.78327   -459.99933   -460.04765
    9     3.5400   -459.77567   -460.00029   -460.05257
   10     3.6700   -459.76890   -460.00233   -460.05868
   11     3.8000   -459.76287   -460.00531   -460.06580
   12     3.9300   -459.75750   -460.00909   -460.07376
   13     4.0600   -459.75273   -460.01357   -460.08240
   14     4.1900   -459.74848   -460.01861   -460.09157
   15     4.3200   -459.74470   -460.02412   -460.10114
   16     4.4500   -459.74133   -460.03000   -460.11100
   17     4.5800   -459.73832   -460.03620   -460.12106
   18     4.7100   -459.73563   -460.04264   -460.13124
   19     4.8400   -459.73320   -460.04927   -460.14147
   20     4.9700   -459.73102   -460.05604   -460.15172
   21     5.1000   -459.72904   -460.06294   -460.16193
   22     5.2300   -459.72723   -460.06993   -460.17209
   23     5.3600   -459.72558   -460.07698   -460.18217
   24     5.4900   -459.72407   -460.08410   -460.19216
   25     5.6200   -459.72267   -460.09126   -460.20206
   26     5.7500   -459.72136   -460.09846   -460.21186
   27     5.8800   -459.72015   -460.10569   -460.22157
   28     6.0100   -459.71901   -460.11296   -460.23118
   29     6.1400   -459.71793   -460.12025   -460.24071
   30     6.2700   -459.71692   -460.12758   -460.25015
   31     6.4000   -459.71595   -460.13493   -460.25951
